mundesc,codmun,uf,cobatb,cobsbuc,prprenat7,prprenat4-6,prprenat1-3,rzcito,rzmamogr,rzpamc,rzintccmc,rzpaac,rzintccac,prachoacd,prpamcnr,prpaacnr,printmcnr,printacnr,prisab,txsifcong,prcuratb,prcurahans,Cobtetrav1,mescovds,prexodon,prparton,probm15uti,probiiam,ghm,RegBr
Jacinto Machado,420870,SC,"96,2%","27,8%","59,0%","35,3%","4,8%","70,8%","23,6%","0,69","5,60","3,17","2,65","43,7%","0,0%","0,0%","0,0%","0,0%","27,4%",,"100,0%",,"111,2%","3,26","0,0%","45,0%","10,8%","13,2%",GH5,S
Jaguaruna,420880,SC,"80,2%","63,6%","60,3%","35,3%","3,6%","58,9%","27,3%","0,57","4,79","3,51","4,68","43,2%","0,0%","0,0%","0,0%","0,0%","26,9%",,"57,1%",,"101,8%","0,05","22,5%","40,6%","8,2%","10,7%",GH5,S
Jaraguá do Sul,420890,SC,"37,5%","24,9%","78,3%","17,8%","3,0%","52,7%","17,2%","0,48","4,16","3,72","4,49","51,3%","0,0%","0,0%","0,2%","0,1%","24,9%",,"88,9%","88,2%","93,6%","5,73","4,3%","40,3%","13,9%","14,1%",GH3,S
Jardinópolis,420895,SC,"175,3%","127,4%","68,8%","26,0%","2,6%","102,3%","19,9%","0,68","5,23","2,89","4,58","43,7%","0,0%","0,0%","0,0%","0,0%","37,4%",,,"100,0%","108,0%","7,30","1,9%","31,7%","11,2%","14,4%",GH5,S
Joaçaba,420900,SC,"94,6%","92,0%","72,9%","22,6%","3,4%","57,0%","17,0%","0,57","4,27","4,33","4,51","42,9%","1,0%","0,3%","0,2%","0,3%","27,9%",,"80,0%","0,0%","88,9%","2,66","19,9%","26,8%","12,4%","16,6%",GH3,S
Joinville,420910,SC,"38,6%","17,7%","71,6%","22,7%","4,9%","59,0%","53,3%","1,35","3,59","5,28","4,23","52,1%","0,1%","0,3%","0,3%","0,3%","22,0%",,"81,9%","91,8%","94,6%","1,27","4,7%","47,6%","9,7%","11,3%",GH2,S
José Boiteux,420915,SC,"117,4%","111,2%","46,2%","44,0%","8,6%","39,1%","29,4%","0,83","6,05","2,08","2,91","43,5%","0,0%","0,0%","0,0%","0,0%","35,1%",,,,"104,2%","12,42","12,0%","44,9%","13,3%","13,9%",GH5,S
Jupiá,420917,SC,"139,7%","186,2%","87,9%","6,1%","4,5%","193,3%","83,0%","0,37","6,25","1,49","3,67","42,9%","0,0%","0,0%","0,0%","0,0%","26,2%",,,"100,0%","86,4%","2,44","13,7%","38,5%","10,2%","14,1%",GH5,S
Lacerdópolis,420920,SC,"159,1%","145,7%","79,7%","18,8%","0,0%","85,2%","37,1%","0,53","3,60","1,72","3,04","43,1%","0,0%","0,0%","0,0%","0,0%","31,2%",,,,"62,1%","0,09","7,0%","29,3%","10,0%","14,5%",GH5,S
Lages,420930,SC,"78,9%","66,3%","62,9%","27,9%","7,3%","66,0%","19,5%","0,76","4,85","4,21","6,88","41,7%","0,1%","0,1%","0,1%","0,1%","27,4%",,"88,2%","100,0%","101,1%","1,03","7,6%","43,7%","13,3%","13,0%",GH2,S
Laguna,420940,SC,"78,2%","66,9%","51,4%","43,3%","3,9%","67,2%","38,1%","0,50","5,12","3,44","4,41","44,0%","0,0%","0,0%","0,0%","0,0%","28,8%","0,93","79,3%","100,0%","92,5%","1,38","8,2%","34,5%","11,3%","16,5%",GH3,S
Lajeado Grande,420945,SC,"239,1%","268,5%","54,1%","40,5%","5,4%","103,1%","94,6%","0,74","3,98","2,60","4,59","43,4%","0,0%","0,0%","0,0%","0,0%","25,2%",,,,"80,0%","2,59","2,7%","40,2%","9,0%","12,9%",GH5,S
Laurentino,420950,SC,"97,9%","45,8%","73,8%","20,7%","3,8%","89,8%","28,5%","0,54","4,59","2,96","3,47","42,6%","0,0%","0,0%","0,0%","0,0%","30,0%",,,,"88,5%","0,08","8,0%","42,7%","9,4%","13,5%",GH5,S
Lauro Muller,420960,SC,"123,6%","123,6%","72,1%","25,0%","2,4%","93,1%","59,4%","0,53","5,35","3,53","3,70","43,3%","0,0%","0,0%","0,0%","0,0%","24,8%","2,74","100,0%",,"122,2%","0,49","11,0%","26,6%","9,4%","10,4%",GH5,S
Lebon Régis,420970,SC,"96,9%","46,4%","42,9%","43,2%","10,4%","61,6%","24,5%","0,43","4,83","1,59","2,51","41,7%","0,0%","0,0%","0,0%","0,0%","53,2%",,"75,0%",,"112,7%","0,00","41,3%","51,7%","8,9%","11,4%",GH5,S
Leoberto Leal,420980,SC,"178,3%","99,1%","66,7%","29,1%","2,8%","65,7%","40,3%","0,76","5,01","4,28","3,19","43,1%","0,0%","0,0%","0,0%","0,0%","25,8%",,,,"85,4%","2,85","3,4%","42,6%","10,3%","13,0%",GH5,S
Lindóia do Sul,420985,SC,"73,4%","140,0%","80,5%","14,1%","4,7%","120,8%","32,8%","0,74","5,24","2,60","3,83","44,4%","0,0%","0,0%","0,0%","0,0%","18,8%",,,,"115,6%","1,29","2,1%","36,5%","8,7%","12,9%",GH5,S
Lontras,420990,SC,"101,6%","65,9%","72,1%","21,9%","4,8%","57,6%","25,6%","0,98","4,34","2,77","3,35","42,6%","0,0%","0,0%","0,0%","0,0%","28,2%",,"33,3%",,"112,3%","0,72","96,0%","42,1%","10,1%","14,4%",GH5,S
Luiz Alves,421000,SC,"106,3%","114,8%","77,1%","19,5%","2,2%","77,8%","33,7%","0,46","4,87","2,93","3,51","44,6%","0,0%","0,0%","0,0%","0,0%","26,7%",,"33,3%","100,0%","135,8%","5,31","3,5%","48,9%","9,9%","12,4%",GH5,S
Luzerna,421003,SC,"110,6%","107,2%","73,0%","23,0%","3,4%","81,9%","33,8%","0,29","4,50","3,19","3,90","43,7%","0,0%","0,0%","0,0%","0,0%","39,8%",,,,"165,9%","0,81","1,9%","24,4%","8,6%","11,2%",GH5,S
Macieira,421005,SC,"209,9%","219,1%","62,3%","31,2%","5,2%","140,2%","69,9%","0,36","4,81","2,58","4,23","43,7%","0,0%","0,0%","0,0%","0,0%","27,4%",,,,"108,0%","34,73","4,3%","48,3%","10,3%","14,3%",GH5,S
Mafra,421010,SC,"64,4%","49,4%","85,7%","10,8%","3,1%","63,5%","11,8%","0,25","5,03","1,29","2,05","41,9%","0,2%","0,0%","0,0%","0,0%","24,5%",,"76,9%","100,0%","97,6%","0,14","10,2%","48,4%","8,6%","15,0%",GH3,S
Major Gercino,421020,SC,"117,9%","91,5%","56,1%","32,7%","6,1%","36,3%","14,0%","0,59","4,98","2,44","3,11","43,2%","0,0%","0,0%","0,0%","0,0%","29,2%",,,,"62,5%","0,69","14,4%","48,0%","8,2%","13,2%",GH5,S
Major Vieira,421030,SC,"141,4%","107,0%","77,9%","17,8%","3,6%","75,6%","12,4%","0,10","5,96","1,84","2,72","40,9%","0,0%","0,0%","0,0%","0,0%","38,4%",,"66,7%",,"117,0%","0,00","21,0%","46,8%","9,7%","15,2%",GH5,S
Maracajá,421040,SC,"67,3%","60,9%","47,8%","38,4%","11,9%","56,9%","26,3%","0,62","4,67","3,45","2,51","43,5%","0,0%","0,0%","0,0%","0,0%","34,2%","2,58","100,0%",,"92,7%","5,01","0,0%","35,4%","9,3%","14,9%",GH5,S
Maravilha,421050,SC,"85,1%","79,9%","90,7%","8,5%","0,4%","86,9%","38,6%","0,57","5,64","2,77","4,14","42,5%","0,0%","0,0%","0,0%","0,0%","26,5%",,"100,0%","60,0%","102,0%","0,00","6,3%","23,7%","10,9%","9,7%",GH3,S
Marema,421055,SC,"142,4%","136,2%","62,0%","30,0%","2,0%","124,3%","109,5%","0,72","4,86","3,15","4,41","43,7%","0,0%","0,0%","0,0%","0,0%","24,7%",,,,"135,7%","2,43","4,5%","26,4%","10,8%","13,9%",GH5,S
Massaranduba,421060,SC,"100,7%","41,8%","76,0%","19,7%","3,4%","45,3%","22,2%","0,33","3,98","2,57","3,79","40,3%","0,0%","0,0%","0,0%","0,0%","24,1%",,"100,0%","66,7%","132,5%","2,18","12,0%","40,3%","9,6%","16,9%",GH5,S
Matos Costa,421070,SC,"140,9%","211,4%","55,1%","31,4%","11,9%","89,1%","0,0%","0,51","4,06","1,43","1,89","43,3%","0,0%","0,0%","0,0%","0,0%","42,9%",,,,"86,4%","0,73","19,0%","50,9%","8,6%","13,6%",GH5,S
Meleiro,421080,SC,"135,2%","110,7%","47,0%","47,9%","3,8%","105,1%","36,8%","0,55","5,82","3,16","2,35","42,8%","0,0%","0,0%","0,0%","0,0%","39,9%",,"100,0%",,"72,0%","3,88","8,8%","27,4%","9,8%","13,9%",GH5,S
Mirim Doce,421085,SC,"121,0%","109,4%","63,0%","27,2%","8,6%","65,6%","1,3%","0,91","3,97","1,96","3,05","43,1%","0,0%","0,0%","0,0%","0,0%","27,5%",,"100,0%",,"54,5%","0,00","6,3%","48,6%","8,6%","13,5%",GH5,S
Modelo,421090,SC,"148,3%","148,3%","85,0%","11,0%","2,4%","121,5%","74,3%","0,58","6,11","2,89","4,57","43,1%","0,0%","0,0%","0,0%","0,0%","23,6%",,,"100,0%","104,7%","0,01","0,4%","48,6%","8,7%","14,1%",GH5,S
Mondaí,421100,SC,"108,3%","53,8%","71,0%","24,3%","2,2%","113,3%","46,7%","0,38","4,96","2,81","3,33","41,0%","0,0%","0,0%","0,0%","0,0%","43,7%",,,"75,0%","80,2%","0,00","21,8%","49,0%","11,8%","14,5%",GH5,S
Monte Carlo,421105,SC,"132,4%","126,2%","55,4%","35,5%","5,3%","65,6%","16,7%","0,25","4,74","1,82","2,61","43,1%","0,0%","0,0%","0,0%","0,0%","13,9%",,"50,0%",,"122,2%","0,44","0,3%","52,9%","14,4%","17,3%",GH5,S
Monte Castelo,421110,SC,"139,5%","71,9%","60,5%","28,2%","9,0%","58,1%","17,7%","0,17","4,50","1,17","2,78","41,4%","0,0%","0,0%","0,0%","0,0%","36,7%",,"66,7%","66,7%","119,2%","0,28","20,7%","61,1%","10,5%","19,2%",GH5,S
Morro da Fumaça,421120,SC,"93,0%","37,2%","43,4%","49,7%","6,2%","72,5%","39,6%","0,53","6,43","3,77","3,93","43,5%","0,0%","0,0%","0,0%","0,0%","45,5%",,"66,7%",,"110,3%","5,01","13,5%","40,3%","11,6%","12,9%",GH5,S
Morro Grande,421125,SC,"164,4%","155,7%","49,5%","42,2%","8,3%","73,7%","30,0%","0,25","5,70","2,58","2,65","42,8%","0,0%","0,0%","0,0%","0,0%","52,3%",,,,"95,2%","5,57","14,4%","39,4%","9,0%","13,9%",GH5,S
Navegantes,421130,SC,"69,5%","64,4%","71,0%","22,0%","5,0%","40,5%","32,2%","0,50","4,30","4,20","3,92","42,9%","0,0%","0,0%","0,0%","0,0%","21,0%","1,83","79,7%","100,0%","111,3%","0,26","9,6%","48,4%","10,6%","16,2%",GH3,S
Nova Erechim,421140,SC,"72,1%","93,6%","85,8%","11,9%","1,5%","90,6%","27,2%","0,44","5,84","2,52","5,73","42,3%","0,0%","0,0%","0,0%","0,0%","50,0%",,,,"122,0%","4,86","4,8%","36,0%","10,1%","15,8%",GH5,S
Nova Itaberaba,421145,SC,"147,4%","70,3%","85,3%","13,3%","1,4%","102,9%","24,3%","0,78","4,21","2,87","5,77","43,0%","0,0%","0,0%","0,0%","0,0%","29,8%",,"100,0%",,"116,7%","2,96","3,3%","45,4%","8,8%","16,3%",GH5,S
Nova Trento,421150,SC,"109,5%","102,6%","62,8%","31,9%","3,7%","69,0%","82,9%","0,60","5,53","3,31","2,89","42,3%","0,0%","0,0%","0,0%","0,0%","38,5%",,"75,0%",,"107,9%","0,00","10,9%","38,0%","13,6%","16,5%",GH5,S
Nova Veneza,421160,SC,"123,1%","142,7%","54,0%","41,8%","3,1%","117,2%","59,3%","0,41","5,45","3,33","3,29","45,1%","0,0%","0,0%","0,0%","0,0%","43,1%",,"100,0%",,"88,4%","1,59","7,4%","38,5%","7,0%","11,9%",GH3,S
Novo Horizonte,421165,SC,"140,9%","72,7%","96,5%","1,2%","2,3%","157,1%","42,3%","0,45","7,13","1,68","2,56","43,5%","0,0%","0,0%","0,0%","0,0%","27,9%",,"100,0%",,"83,3%","0,13","5,4%","40,1%","10,1%","12,5%",GH5,S
Orleans,421170,SC,"123,8%","119,2%","67,2%","30,2%","2,1%","68,4%","37,0%","0,37","4,23","3,52","3,03","42,9%","0,0%","0,0%","0,0%","0,0%","29,8%",,"71,4%","100,0%","116,4%","2,10","6,4%","31,1%","13,0%","16,7%",GH5,S
Otacílio Costa,421175,SC,"109,9%","69,3%","47,1%","38,0%","12,9%","83,2%","10,7%","0,55","5,20","1,68","4,73","42,9%","0,0%","0,0%","0,0%","0,0%","36,8%",,"100,0%",,"82,4%","0,00","14,7%","40,1%","11,4%","11,8%",GH5,S
Ouro,421180,SC,"67,3%","37,3%","70,0%","27,6%","2,0%","77,4%","69,7%","0,44","4,46","3,01","3,93","43,3%","0,0%","0,0%","0,0%","0,0%","32,1%",,"100,0%",,"133,3%","0,00","0,3%","28,5%","10,0%","14,2%",GH5,S
Ouro Verde,421185,SC,"110,1%","110,1%","69,1%","22,2%","7,4%","133,0%","81,8%","0,51","5,91","3,29","4,58","43,1%","0,0%","0,0%","0,0%","0,0%","35,4%",,"100,0%",,"89,7%","0,51","7,9%","34,7%","9,6%","14,4%",GH5,S
Paial,421187,SC,"182,0%","177,3%","89,5%","7,0%","1,8%","111,7%","46,7%","0,84","5,21","3,50","5,36","43,0%","0,0%","0,0%","0,0%","0,0%","28,7%",,,,"109,5%","4,86","7,9%","29,6%","8,8%","13,5%",GH5,S
Painel,421189,SC,"160,4%","170,0%","36,8%","48,5%","14,7%","56,1%","5,0%","1,27","3,66","1,70","3,94","43,4%","0,0%","0,0%","0,0%","0,0%","23,3%",,,,"82,1%","3,01","8,2%","48,2%","9,9%","15,7%",GH5,S
Palhoça,421190,SC,"60,8%","25,8%","53,2%","33,1%","10,0%","53,4%","47,5%","0,95","4,00","5,20","4,46","45,3%","0,2%","0,0%","0,0%","0,0%","24,3%","0,50","66,2%","87,5%","110,4%","0,32","3,5%","49,2%","9,0%","10,1%",GH5,S
Palma Sola,421200,SC,"109,5%","80,5%","78,8%","17,9%","1,8%","119,4%","25,0%","0,51","5,72","2,23","2,47","42,0%","0,0%","0,0%","0,0%","0,0%","51,9%",,,,"137,2%","0,33","7,0%","58,3%","8,8%","14,4%",GH5,S
Palmeira,421205,SC,"135,7%","168,4%","41,2%","41,2%","16,5%","91,5%","10,6%","0,32","4,29","1,79","4,32","42,8%","0,0%","0,0%","0,0%","0,0%","26,2%",,,,"80,0%","0,00","11,7%","43,2%","8,6%","13,7%",GH5,S
Palmitos,421210,SC,"105,1%","78,0%","81,6%","14,5%","2,9%","110,0%","65,4%","0,95","5,74","2,27","3,80","44,2%","0,0%","0,0%","0,0%","0,0%","29,3%",,"100,0%","100,0%","114,9%","0,09","2,9%","40,1%","7,8%","11,6%",GH3,S
Papanduva,421220,SC,"100,1%","44,2%","59,0%","34,7%","5,6%","98,1%","31,3%","0,35","5,05","1,58","1,87","37,6%","0,0%","0,0%","0,0%","0,0%","40,8%",,"50,0%","100,0%","101,7%","1,22","17,4%","58,0%","10,3%","15,1%",GH5,S
Paraíso,421223,SC,"151,1%","147,1%","73,5%","22,8%","2,2%","142,1%","38,4%","0,48","3,63","3,16","3,60","43,4%","0,0%","0,0%","0,0%","0,0%","36,4%",,"0,0%",,"135,0%","8,35","3,4%","36,8%","9,8%","14,5%",GH5,S
Passo de Torres,421225,SC,"110,6%","60,3%","80,9%","16,5%","0,9%","62,1%","18,5%","0,21","2,26","2,50","1,54","42,3%","0,0%","0,0%","0,0%","0,0%","29,6%",,"66,7%",,"122,5%","0,00","8,5%","42,2%","9,7%","13,8%",GH5,S
Passos Maia,421227,SC,"148,6%","135,5%","71,0%","22,4%","3,3%","83,6%","46,9%","0,26","8,73","2,59","2,96","44,2%","0,0%","0,0%","0,0%","0,0%","36,3%","2,88",,,"153,5%","0,14","5,5%","38,7%","10,0%","13,8%",GH5,S
Paulo Lopes,421230,SC,"155,0%","178,1%","64,2%","29,2%","4,4%","37,3%","127,3%","0,87","4,27","3,85","5,41","41,1%","0,0%","0,0%","0,0%","0,0%","24,2%",,"100,0%",,"116,7%","10,45","8,4%","51,0%","10,0%","14,8%",GH5,S
Pedras Grandes,421240,SC,"165,3%","97,4%","65,3%","31,6%","2,1%","56,4%","46,2%","0,19","5,49","2,73","3,99","42,3%","0,0%","0,0%","0,0%","0,0%","52,5%",,"0,0%",,"72,2%","0,27","0,0%","34,0%","9,5%","18,5%",GH5,S
Penha,421250,SC,"73,5%","34,7%","76,3%","18,8%","4,0%","33,2%","23,7%","0,35","4,04","3,06","3,67","45,2%","0,0%","0,0%","0,0%","0,0%","43,4%",,"57,9%","100,0%","113,4%","0,00","13,2%","43,4%","11,1%","13,6%",GH5,S
Peritiba,421260,SC,"139,4%","100,4%","82,4%","14,7%","2,9%","126,7%","33,2%","0,81","5,52","2,57","3,99","42,5%","0,0%","0,0%","0,0%","0,0%","28,7%",,,,"100,0%","4,91","16,8%","44,0%","9,0%","15,3%",GH5,S
Petrolândia,421270,SC,"104,0%","89,7%","74,4%","20,1%","4,5%","66,9%","20,8%","0,44","5,33","2,07","2,85","43,1%","0,0%","0,0%","0,0%","0,0%","49,0%",,,,"121,9%","0,33","16,6%","54,2%","12,3%","12,9%",GH5,S
Balneário Piçarras,421280,SC,"125,4%","109,8%","81,4%","14,8%","2,5%","66,2%","36,8%","0,66","3,03","3,61","4,03","44,5%","0,0%","0,0%","0,0%","0,0%","23,8%","3,22","90,9%","100,0%","137,8%","1,76","5,6%","50,6%","8,1%","14,1%",GH5,S
Pinhalzinho,421290,SC,"82,3%","75,7%","85,5%","10,6%","3,0%","92,6%","45,6%","0,71","4,19","3,42","3,97","44,2%","0,0%","0,0%","0,0%","0,0%","31,5%",,"100,0%","100,0%","103,3%","14,30","2,1%","52,0%","10,6%","15,0%",GH5,S
Pinheiro Preto,421300,SC,"134,1%","135,0%","79,1%","18,7%","2,2%","56,2%","19,8%","0,52","4,33","2,43","2,35","42,9%","0,0%","0,0%","0,0%","0,0%","28,8%",,,"100,0%","84,8%","0,00","9,8%","27,1%","11,0%","14,1%",GH5,S
Piratuba,421310,SC,"186,1%","83,6%","76,4%","19,5%","3,4%","152,1%","6,1%","0,32","4,81","2,27","3,49","44,2%","0,0%","0,0%","0,0%","0,0%","32,7%",,"100,0%",,"131,5%","1,61","17,4%","28,6%","8,6%","14,5%",GH5,S
Planalto Alegre,421315,SC,"152,0%","188,0%","66,7%","32,1%","1,3%","145,0%","93,2%","0,49","5,81","2,92","4,63","43,8%","0,0%","0,0%","0,0%","0,0%","42,0%",,,,"103,7%","2,26","7,5%","47,6%","10,0%","13,6%",GH5,S
Pomerode,421320,SC,"87,9%","70,6%","89,7%","8,4%","1,0%","25,2%","32,9%","0,60","5,35","2,86","3,16","43,5%","0,0%","0,0%","0,0%","0,0%","37,9%",,"80,0%","100,0%","100,0%","6,24","5,0%","32,7%","9,6%","11,1%",GH3,S
Ponte Alta,421330,SC,"122,6%","122,6%","49,8%","40,8%","8,5%","95,4%","3,4%","0,39","6,08","1,64","3,68","42,2%","0,0%","0,0%","0,0%","0,0%","47,6%",,,,"126,1%","0,01","14,8%","22,6%","10,3%","15,8%",GH5,S
Ponte Alta do Norte,421335,SC,"105,0%","141,3%","55,8%","36,1%","6,8%","97,2%","18,5%","0,71","5,51","1,44","1,83","42,8%","0,0%","0,0%","0,0%","0,0%","30,5%",,,,"121,7%","0,00","9,3%","46,1%","8,1%","14,0%",GH5,S
Ponte Serrada,421340,SC,"101,0%","102,0%","54,4%","32,4%","10,6%","57,3%","20,9%","0,49","5,64","2,45","3,73","41,2%","0,0%","0,0%","0,0%","0,0%","33,8%",,"100,0%",,"110,6%","14,00","12,0%","33,6%","11,0%","13,9%",GH5,S
Porto Belo,421350,SC,"120,6%","110,1%","66,7%","24,6%","7,2%","51,5%","22,0%","0,49","2,54","2,71","3,19","42,4%","0,0%","0,0%","0,0%","0,0%","22,4%",,"71,4%",,"107,8%","0,43","2,3%","46,0%","9,1%","15,4%",GH5,S
Porto União,421360,SC,"43,9%","61,0%","76,3%","18,4%","4,5%","61,1%","10,5%","0,29","5,32","2,25","2,73","42,6%","0,0%","0,1%","0,0%","0,1%","29,0%",,"50,0%","100,0%","93,8%","3,75","5,0%","45,5%","11,0%","15,3%",GH3,S
Pouso Redondo,421370,SC,"110,7%","60,8%","68,2%","24,9%","5,1%","79,8%","27,2%","0,53","4,62","2,00","2,80","39,1%","0,0%","0,0%","0,0%","0,0%","32,8%",,"66,7%","100,0%","111,6%","0,00","18,9%","54,4%","8,7%","13,4%",GH5,S
Praia Grande,421380,SC,"98,6%","41,3%","70,0%","20,0%","7,2%","81,0%","27,2%","0,46","6,04","2,47","1,95","44,0%","0,0%","0,0%","0,0%","0,0%","36,2%",,"100,0%",,"107,3%","4,76","0,0%","42,1%","13,7%","14,6%",GH5,S
Presidente Castello Branco,421390,SC,"174,0%","174,0%","84,9%","13,2%","0,0%","105,6%","48,4%","0,27","4,85","3,23","6,40","43,0%","0,0%","0,0%","0,0%","0,0%","26,3%",,,,"153,8%","4,05","0,5%","35,6%","8,4%","13,6%",GH5,S
Presidente Getúlio,421400,SC,"102,7%","85,7%","72,3%","23,0%","4,1%","43,5%","28,4%","0,47","5,24","1,86","2,33","44,1%","0,0%","0,0%","0,0%","0,0%","34,4%",,"100,0%",,"119,9%","0,00","1,0%","36,0%","11,0%","10,6%",GH5,S
Presidente Nereu,421410,SC,"131,3%","131,3%","73,1%","22,4%","4,5%","86,2%","46,9%","0,47","4,66","2,20","2,69","42,8%","0,0%","0,0%","0,0%","0,0%","23,7%",,"100,0%",,"131,8%","0,32","7,5%","47,6%","9,0%","13,9%",GH5,S
Princesa,421415,SC,"108,8%","108,8%","72,8%","24,7%","2,5%","88,2%","23,8%","0,80","4,89","2,37","5,00","43,7%","0,0%","0,0%","0,0%","0,0%","36,3%",,,,"211,8%","0,91","8,9%","35,8%","8,7%","13,7%",GH5,S
Quilombo,421420,SC,"117,9%","90,2%","68,8%","28,1%","1,4%","18,0%","70,3%","0,39","5,53","3,25","3,12","42,6%","0,0%","0,0%","0,0%","0,0%","37,5%",,,"100,0%","94,0%","1,57","9,3%","24,1%","11,3%","14,3%",GH5,S
Rancho Queimado,421430,SC,"130,4%","157,7%","69,5%","26,3%","2,1%","70,1%","73,9%","1,32","5,07","2,39","4,86","43,3%","0,0%","0,0%","0,0%","0,0%","23,9%",,"100,0%",,"75,8%","0,00","3,7%","42,4%","9,0%","13,5%",GH5,S
Rio das Antas,421440,SC,"126,1%","48,8%","60,8%","31,2%","7,5%","75,9%","26,8%","0,58","3,62","2,04","3,23","41,1%","0,0%","0,0%","0,0%","0,0%","24,6%",,"100,0%","100,0%","82,3%","0,22","8,6%","43,8%","8,5%","14,0%",GH5,S
Rio do Campo,421450,SC,"96,9%","64,6%","47,3%","42,9%","9,8%","61,9%","23,0%","0,32","4,87","2,46","3,78","43,4%","0,0%","0,0%","0,0%","0,0%","50,3%",,"100,0%",,"96,6%","0,00","0,7%","63,0%","8,8%","12,1%",GH5,S
Rio do Oeste,421460,SC,"62,8%","42,3%","87,1%","11,6%","0,9%","52,7%","25,9%","0,89","4,82","1,40","2,37","42,8%","0,0%","0,0%","0,0%","0,0%","30,0%",,,,"100,0%","4,61","19,1%","51,7%","11,1%","13,2%",GH5,S
Rio dos Cedros,421470,SC,"97,6%","51,9%","70,2%","25,0%","3,8%","56,4%","14,9%","0,35","3,09","2,17","2,18","42,1%","0,0%","0,0%","0,0%","0,0%","30,9%",,"100,0%","100,0%","115,1%","5,07","16,9%","34,3%","10,5%","13,5%",GH5,S
Rio do Sul,421480,SC,"64,7%","24,0%","72,3%","21,2%","5,6%","69,7%","52,1%","1,21","4,01","6,31","3,88","43,2%","0,1%","0,0%","0,2%","0,2%","24,9%","0,71","70,6%","100,0%","128,9%","19,09","6,8%","49,3%","12,4%","12,2%",GH3,S
Rio Fortuna,421490,SC,"138,7%","146,2%","89,4%","10,1%","0,6%","103,0%","61,5%","0,19","5,73","3,87","5,28","43,8%","0,0%","0,0%","0,0%","0,0%","44,8%",,,,"113,7%","6,09","4,4%","43,2%","8,8%","15,9%",GH5,S
Rio Negrinho,421500,SC,"76,7%","62,0%","76,2%","18,7%","4,7%","107,8%","3,1%","0,32","5,53","2,06","2,30","40,3%","0,0%","0,0%","0,0%","0,0%","44,3%",,"100,0%","100,0%","82,8%","0,37","9,4%","44,8%","5,8%","15,3%",GH3,S
Rio Rufino,421505,SC,"102,6%","92,4%","70,3%","24,3%","2,7%","91,4%","14,9%","0,52","4,90","2,19","4,35","41,5%","0,0%","0,0%","0,0%","0,0%","36,3%",,"100,0%",,"172,2%","0,86","5,7%","48,6%","9,6%","14,2%",GH5,S
Riqueza,421507,SC,"125,7%","116,8%","76,4%","19,3%","2,9%","81,7%","31,1%","0,55","5,69","2,02","3,07","42,9%","0,0%","0,0%","0,0%","0,0%","29,6%",,,"100,0%","82,0%","0,00","0,9%","40,3%","9,7%","14,0%",GH5,S
Rodeio,421510,SC,"51,7%","22,9%","81,6%","15,9%","1,9%","38,0%","18,2%","0,47","3,57","2,51","2,68","42,1%","0,0%","0,0%","0,0%","0,0%","27,5%",,"100,0%",,"119,2%","0,00","15,1%","35,4%","9,8%","13,4%",GH5,S
Romelândia,421520,SC,"99,1%","99,1%","79,6%","18,4%","2,0%","99,6%","30,9%","0,27","4,63","1,58","3,09","42,9%","0,0%","0,0%","0,0%","0,0%","41,0%",,,,"87,3%","0,00","24,8%","31,9%","9,6%","17,7%",GH5,S
Salete,421530,SC,"81,6%","61,2%","77,3%","19,7%","1,9%","152,7%","26,0%","0,51","5,68","2,26","4,85","43,0%","0,0%","0,0%","0,0%","0,0%","47,1%",,,"100,0%","114,7%","0,00","2,5%","52,8%","9,4%","12,7%",GH5,S
Saltinho,421535,SC,"88,4%","75,7%","67,9%","29,3%","2,7%","9,7%","26,4%","0,32","5,44","1,94","3,35","42,8%","0,0%","0,0%","0,0%","0,0%","28,8%",,"100,0%",,"69,9%","1,24","13,5%","54,2%","8,2%","13,9%",GH5,S
Salto Veloso,421540,SC,"135,2%","162,8%","80,9%","15,6%","1,4%","106,9%","39,9%","0,52","5,60","4,18","4,07","44,7%","0,0%","0,0%","0,0%","0,0%","56,8%",,"50,0%",,"135,1%","11,28","10,3%","24,7%","10,5%","12,9%",GH5,S
Sangão,421545,SC,"147,8%","93,3%","64,7%","30,3%","4,5%","74,5%","34,7%","0,63","5,45","2,67","3,99","40,6%","0,0%","0,0%","0,0%","0,0%","32,8%",,"71,4%",,"103,9%","0,80","13,0%","40,4%","11,2%","14,0%",GH5,S
Santa Cecília,421550,SC,"65,9%","82,6%","51,1%","36,6%","10,0%","57,0%","18,3%","0,43","3,99","2,10","2,10","40,7%","0,0%","0,0%","0,0%","0,0%","39,9%",,"80,0%",,"81,8%","0,00","53,3%","34,6%","12,4%","18,3%",GH5,S
Santa Helena,421555,SC,"125,9%","167,9%","92,6%","5,6%","1,9%","103,6%","37,8%","0,48","5,92","2,24","3,74","43,4%","0,0%","0,0%","0,0%","0,0%","36,7%",,,,"123,5%","0,00","10,5%","44,7%","8,8%","13,3%",GH5,S
Santa Rosa de Lima,421560,SC,"156,6%","193,7%","75,4%","21,7%","1,4%","105,3%","49,3%","0,41","5,93","3,40","2,38","43,4%","0,0%","0,0%","0,0%","0,0%","52,1%",,,,"140,9%","14,98","3,4%","39,1%","9,0%","14,3%",GH5,S
